Semaine,Date_debut,Mois,Trimestre,Maladie,Total_cas,Total_deces,Taux_letalite_pct
2023-S08,2023-02-22,2,Q1,Diarrhée aqueuse,339.0,2.0,0.59
2023-S08,2023-02-23,2,Q1,Diarrhée aqueuse,90.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,Diarrhée aqueuse,10103.0,6.0,0.06
2023-S26,2023-07-01,7,Q3,Diarrhée aqueuse,37.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,Diarrhée aqueuse,8392.0,13.0,0.15
2023-S35,2023-09-02,9,Q3,Diarrhée aqueuse,309.0,0.0,0.0
2023-S48,2023-12-01,12,Q4,Diarrhée aqueuse,445.0,0.0,0.0
2023-S48,2023-12-02,12,Q4,Diarrhée aqueuse,3.0,0.0,0.0
2023-S00,2023-01-01,1,Q1,Diarrhée sanglante,16.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,Diarrhée sanglante,222.33333333333334,7.1,3.19
2023-S02,2023-01-09,1,Q1,Diarrhée sanglante,428.6666666666667,12.0,2.8
2023-S03,2023-01-16,1,Q1,Diarrhée sanglante,635.0,9.7,1.53
2023-S03,2023-01-17,1,Q1,Diarrhée sanglante,1.0,0.0,0.0
2023-S03,2023-01-19,1,Q1,Diarrhée sanglante,2.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,Diarrhée sanglante,643.0,8.1,1.26
2023-S04,2023-01-26,1,Q1,Diarrhée sanglante,7.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,Diarrhée sanglante,14.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,Diarrhée sanglante,791.0,0.0,0.0
2023-S05,2023-02-01,2,Q1,Diarrhée sanglante,580.0,0.0,0.0
2023-S06,2023-02-06,2,Q1,Diarrhée sanglante,10.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,Diarrhée sanglante,657.0,4.6,0.7
2023-S07,2023-02-16,2,Q1,Diarrhée sanglante,8.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,Diarrhée sanglante,795.0,14.200000000000001,1.79
2023-S08,2023-02-22,2,Q1,Diarrhée sanglante,4.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,Diarrhée sanglante,644.0,1.0,0.16
2023-S26,2023-07-01,7,Q3,Diarrhée sanglante,8.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,Diarrhée sanglante,587.0,0.0,0.0
2023-S48,2023-12-01,12,Q4,Diarrhée sanglante,13.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,FIEVRE JAUNE,1.0,0.0,0.0
2023-S02,2023-01-09,1,Q1,FIEVRE JAUNE,3.0,0.0,0.0
2023-S03,2023-01-16,1,Q1,FIEVRE JAUNE,16.0,0.9,5.62
2023-S03,2023-01-17,1,Q1,FIEVRE JAUNE,1.0,0.0,0.0
2023-S03,2023-01-22,1,Q1,FIEVRE JAUNE,1.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,FIEVRE JAUNE,15.0,1.0,6.67
2023-S04,2023-01-24,1,Q1,FIEVRE JAUNE,1.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,FIEVRE JAUNE,9.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,FIEVRE JAUNE,17.0,0.0,0.0
2023-S05,2023-02-01,2,Q1,FIEVRE JAUNE,7.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,FIEVRE JAUNE,15.0,2.4,16.0
2023-S08,2023-02-20,2,Q1,FIEVRE JAUNE,16.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,FIEVRE JAUNE,13.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,FIEVRE JAUNE,8.0,0.0,0.0
2023-S00,2023-01-01,1,Q1,Fièvre typhoïde,854.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,Fièvre typhoïde,2411.0,205.8,8.54
2023-S02,2023-01-09,1,Q1,Fièvre typhoïde,2018.0,167.1,8.28
2023-S03,2023-01-16,1,Q1,Fièvre typhoïde,38830.0,219.6,0.57
2023-S03,2023-01-17,1,Q1,Fièvre typhoïde,1523.0,0.0,0.0
2023-S03,2023-01-19,1,Q1,Fièvre typhoïde,568.0,0.0,0.0
2023-S03,2023-01-22,1,Q1,Fièvre typhoïde,1510.0,1.0,0.07
2023-S04,2023-01-23,1,Q1,Fièvre typhoïde,38918.0,127.4,0.33
2023-S04,2023-01-24,1,Q1,Fièvre typhoïde,141.0,0.0,0.0
2023-S04,2023-01-26,1,Q1,Fièvre typhoïde,920.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,Fièvre typhoïde,40276.0,8.0,0.02
2023-S05,2023-02-01,2,Q1,Fièvre typhoïde,38584.0,2.0,0.01
2023-S06,2023-02-06,2,Q1,Fièvre typhoïde,1464.0,1.0,0.07
2023-S07,2023-02-13,2,Q1,Fièvre typhoïde,41233.0,218.29999999999998,0.53
2023-S07,2023-02-16,2,Q1,Fièvre typhoïde,897.0,0.0,0.0
