DEBUTSEM,MALADIE,TOTALCAS,TOTALDECES
2023-01-23,Fièvre typhoïde,39962.0,127.4
2023-01-24,Fièvre typhoïde,282.0,0.0
2023-01-26,Fièvre typhoïde,920.0,0.0
2023-01-30,Fièvre typhoïde,40606.0,8.0
2023-02-01,Fièvre typhoïde,38703.0,2.0
2023-02-06,Fièvre typhoïde,1505.0,2.0
2023-02-13,Fièvre typhoïde,42115.0,218.3
2023-02-16,Fièvre typhoïde,897.0,0.0
2023-02-20,Fièvre typhoïde,35178.0,161.5
2023-02-22,Fièvre typhoïde,854.0,0.0
2023-02-23,Fièvre typhoïde,1766.0,1.0
2023-06-02,Fièvre typhoïde,38310.0,9.0
2023-07-01,Fièvre typhoïde,933.0,0.0
2023-09-01,Fièvre typhoïde,35999.0,5.0
2023-09-02,Fièvre typhoïde,797.0,0.0
2023-12-01,Fièvre typhoïde,814.0,0.0
2023-12-02,Fièvre typhoïde,1.0,0.0
2023-01-01,Grippe,1238.0,1.0
2023-01-02,Grippe,6236.0,270.9
2023-01-09,Grippe,5980.0,135.0
2023-01-16,Grippe,47658.0,201.5
2023-01-17,Grippe,4438.0,0.0
2023-01-19,Grippe,910.0,0.0
2023-01-22,Grippe,4646.0,0.0
2023-01-23,Grippe,46775.0,139.6
2023-01-24,Grippe,60.0,0.0
2023-01-26,Grippe,1231.0,0.0
2023-01-29,Grippe,137.0,0.0
2023-01-30,Grippe,49062.0,1.0
2023-02-01,Grippe,42380.0,4.0
2023-02-06,Grippe,5927.0,0.0
2023-02-13,Grippe,52246.0,144.5
2023-02-16,Grippe,1489.0,0.0
2023-02-20,Grippe,41423.0,137.60000000000002
2023-02-22,Grippe,1121.0,0.0
2023-02-23,Grippe,3509.0,0.0
2023-06-02,Grippe,43986.0,2.0
2023-07-01,Grippe,306.0,0.0
2023-09-01,Grippe,41865.0,2.0
2023-09-02,Grippe,967.0,0.0
2023-12-01,Grippe,1317.0,0.0
2023-01-01,Infection respiratoire aiguë,4596.0,0.0
2023-01-02,Infection respiratoire aiguë,17287.0,6328.2
2023-01-09,Infection respiratoire aiguë,17587.0,3459.8
2023-01-16,Infection respiratoire aiguë,106925.0,6831.1
2023-01-17,Infection respiratoire aiguë,3194.0,2.0
2023-01-19,Infection respiratoire aiguë,5440.0,0.0
2023-01-22,Infection respiratoire aiguë,2789.0,1.0
2023-01-23,Infection respiratoire aiguë,93013.0,3586.2
2023-01-24,Infection respiratoire aiguë,9740.0,2.0
2023-01-26,Infection respiratoire aiguë,4686.0,0.0
2023-01-29,Infection respiratoire aiguë,1854.0,0.0
2023-01-30,Infection respiratoire aiguë,102537.0,31.0
2023-02-01,Infection respiratoire aiguë,95175.0,27.0
2023-02-06,Infection respiratoire aiguë,19537.0,2.0
2023-02-13,Infection respiratoire aiguë,106485.0,3333.0
2023-02-16,Infection respiratoire aiguë,5285.0,0.0
2023-02-20,Infection respiratoire aiguë,91985.0,3161.5
2023-02-22,Infection respiratoire aiguë,5843.0,1.0
2023-02-23,Infection respiratoire aiguë,3829.0,1.0
2023-06-02,Infection respiratoire aiguë,89182.0,17.0
2023-07-01,Infection respiratoire aiguë,3267.0,3.0
2023-09-01,Infection respiratoire aiguë,94164.0,20.0
2023-09-02,Infection respiratoire aiguë,5529.0,0.0
2023-12-01,Infection respiratoire aiguë,5002.0,1.0
2023-12-02,Infection respiratoire aiguë,131.0,0.0
2023-01-16,MAPI GRAVES,0.0,0.0
2023-01-23,MAPI GRAVES,2.0,0.0
2023-01-30,MAPI GRAVES,1.0,0.0
2023-02-01,MAPI GRAVES,0.0,0.0
2023-02-13,MAPI GRAVES,2.0,2.0
2023-02-20,MAPI GRAVES,0.0,0.0
2023-06-02,MAPI GRAVES,0.0,0.0
2023-09-01,MAPI GRAVES,0.0,0.0
2023-01-02,MAPI LEGERES,5.0,0.0
2023-01-09,MAPI LEGERES,18.0,0.0
2023-01-16,MAPI LEGERES,161.0,0.0
2023-01-22,MAPI LEGERES,2.0,0.0
2023-01-23,MAPI LEGERES,112.0,0.0
2023-01-24,MAPI LEGERES,6.0,0.0
2023-01-30,MAPI LEGERES,174.0,0.0
2023-02-01,MAPI LEGERES,46.0,0.0
2023-02-06,MAPI LEGERES,4.0,0.0
2023-02-13,MAPI LEGERES,189.0,0.0
2023-02-20,MAPI LEGERES,187.0,0.0
2023-06-02,MAPI LEGERES,169.0,0.0
2023-09-01,MAPI LEGERES,117.0,0.0
2023-01-02,Monkeypox,23.0,1.0
2023-01-09,Monkeypox,27.0,1.0
2023-01-16,Monkeypox,114.0,4.0
2023-01-23,Monkeypox,132.0,8.0
2023-01-24,Monkeypox,8.0,2.0
2023-01-29,Monkeypox,2.0,0.0
2023-01-30,Monkeypox,126.0,5.0
2023-02-01,Monkeypox,131.0,6.0
2023-02-06,Monkeypox,10.0,0.0
2023-02-13,Monkeypox,126.0,6.0
2023-02-20,Monkeypox,104.0,7.0
2023-06-02,Monkeypox,146.0,7.0
2023-09-01,Monkeypox,124.0,2.0
2023-01-01,Méningite,8.0,2.0
2023-01-02,Méningite,50.0,13.0
2023-01-09,Méningite,21.0,5.9
2023-01-16,Méningite,193.0,42.5
2023-01-17,Méningite,3.0,0.0
2023-01-19,Méningite,2.0,0.0
2023-01-22,Méningite,2.0,0.0
2023-01-23,Méningite,120.0,17.7
2023-01-24,Méningite,16.0,0.0
2023-01-26,Méningite,2.0,0.0
2023-01-29,Méningite,1.0,0.0
2023-01-30,Méningite,285.0,15.0
2023-02-01,Méningite,117.0,6.0
2023-02-06,Méningite,25.0,2.0
2023-02-13,Méningite,96.0,22.4
2023-02-16,Méningite,20.0,0.0
2023-02-20,Méningite,112.0,12.8
2023-02-22,Méningite,1.0,0.0
2023-06-02,Méningite,102.0,9.0
2023-07-01,Méningite,3.0,0.0
2023-09-01,Méningite,68.0,7.0
2023-09-02,Méningite,5.0,0.0
2023-12-01,Méningite,19.0,0.0
2023-01-02,PESTE,1.0,0.0
2023-01-16,PESTE,2.0,0.0
2023-01-23,PESTE,1.0,1.0
2023-01-30,PESTE,1.0,0.0
2023-02-01,PESTE,0.0,0.0
2023-02-13,PESTE,0.0,0.0
2023-02-20,PESTE,1.0,0.0
2023-06-02,PESTE,0.0,0.0
2023-09-01,PESTE,0.0,0.0
2023-01-01,PFA,28.0,0.0
2023-01-02,PFA,1.0,8.7
2023-01-09,PFA,5.0,3.7
2023-01-16,PFA,36.0,13.8
2023-01-22,PFA,2.0,0.0
2023-01-23,PFA,41.0,3.1
2023-01-26,PFA,1.0,0.0
2023-01-29,PFA,0.0,0.0
2023-01-30,PFA,36.0,0.0
2023-02-01,PFA,29.0,0.0
2023-02-06,PFA,1.0,0.0
2023-02-13,PFA,25.0,5.4
2023-02-16,PFA,2.0,0.0
2023-02-20,PFA,37.0,6.4
2023-02-22,PFA,1.0,0.0
2023-02-23,PFA,2.0,0.0
2023-06-02,PFA,21.0,1.0
2023-09-01,PFA,32.0,0.0
2023-12-01,PFA,2.0,0.0
2023-01-01,PNEUMONIE,1117.0,0.0
2023-01-02,PNEUMONIE,2978.0,909.2
2023-01-09,PNEUMONIE,5083.0,349.6
2023-01-16,PNEUMONIE,17411.0,695.9
2023-01-17,PNEUMONIE,90.0,1.0
2023-01-19,PNEUMONIE,1458.0,0.0
2023-01-22,PNEUMONIE,182.0,0.0
2023-01-23,PNEUMONIE,15923.0,231.0
2023-01-24,PNEUMONIE,986.0,2.0
2023-01-26,PNEUMONIE,1389.0,1.0
2023-01-29,PNEUMONIE,720.0,0.0
2023-01-30,PNEUMONIE,15059.0,11.0
2023-02-01,PNEUMONIE,14318.0,21.0
2023-02-06,PNEUMONIE,2525.0,0.0
2023-02-13,PNEUMONIE,16465.0,326.6
2023-02-16,PNEUMONIE,1879.0,2.0
2023-02-20,PNEUMONIE,12961.0,353.5
2023-02-22,PNEUMONIE,1552.0,1.0
2023-02-23,PNEUMONIE,268.0,2.0
2023-06-02,PNEUMONIE,12961.0,18.0
2023-07-01,PNEUMONIE,95.0,0.0
2023-09-01,PNEUMONIE,13577.0,10.0
2023-09-02,PNEUMONIE,1192.0,1.0
2023-12-01,PNEUMONIE,1328.0,2.0
2023-12-02,PNEUMONIE,10.0,0.0
2023-01-01,Paludisme (confirmé),8080.0,15.0
2023-01-02,Paludisme (confirmé),35623.0,11297.9
2023-01-09,Paludisme (confirmé),39895.0,5849.6
2023-01-16,Paludisme (confirmé),277548.0,15004.1
2023-01-17,Paludisme (confirmé),20607.0,20.0
2023-01-19,Paludisme (confirmé),5312.0,15.0
2023-01-22,Paludisme (confirmé),20429.0,17.0
2023-01-23,Paludisme (confirmé),253998.0,8491.0
2023-01-24,Paludisme (confirmé),24738.0,18.0
2023-01-26,Paludisme (confirmé),9121.0,10.0
2023-01-29,Paludisme (confirmé),4544.0,4.0
2023-01-30,Paludisme (confirmé),278494.0,231.0
2023-02-01,Paludisme (confirmé),254465.0,171.0
2023-02-06,Paludisme (confirmé),32043.0,452.0
2023-02-13,Paludisme (confirmé),280859.0,6073.4
2023-02-16,Paludisme (confirmé),5479.0,9.0
2023-02-20,Paludisme (confirmé),234042.0,5296.9
2023-02-22,Paludisme (confirmé),7138.0,7.0
2023-02-23,Paludisme (confirmé),19677.0,35.0
2023-06-02,Paludisme (confirmé),249843.0,166.0
2023-07-01,Paludisme (confirmé),8061.0,2.0
2023-09-01,Paludisme (confirmé),238643.0,147.0
2023-09-02,Paludisme (confirmé),6530.0,3.0
2023-12-01,Paludisme (confirmé),8141.0,11.0
2023-12-02,Paludisme (confirmé),282.0,0.0
2023-01-01,Paludisme (suspect),15390.0,0.0
2023-01-02,Paludisme (suspect),57643.0,14745.3
2023-01-09,Paludisme (suspect),56176.0,6015.0
2023-01-16,Paludisme (suspect),396200.0,14077.6
2023-01-17,Paludisme (suspect),31018.0,15.0
2023-01-19,Paludisme (suspect),15537.0,0.0
2023-01-22,Paludisme (suspect),26361.0,11.0
2023-01-23,Paludisme (suspect),362943.0,8106.0
2023-01-24,Paludisme (suspect),32488.0,8.0
2023-01-26,Paludisme (suspect),15438.0,1.0
2023-01-29,Paludisme (suspect),4817.0,3.0
2023-01-30,Paludisme (suspect),396068.0,118.0
2023-02-01,Paludisme (suspect),366768.0,66.0
2023-02-06,Paludisme (suspect),47176.0,0.0
2023-02-13,Paludisme (suspect),401013.0,6997.8
2023-02-16,Paludisme (suspect),13775.0,0.0
2023-02-20,Paludisme (suspect),343601.0,7040.9
2023-02-22,Paludisme (suspect),15329.0,0.0
2023-02-23,Paludisme (suspect),29140.0,6.0
2023-06-02,Paludisme (suspect),357198.0,97.0
2023-07-01,Paludisme (suspect),9924.0,2.0
2023-09-01,Paludisme (suspect),348424.0,67.0
2023-09-02,Paludisme (suspect),15454.0,0.0
2023-12-01,Paludisme (suspect),16052.0,0.0
2023-01-16,RAGE,2.0,0.0
2023-01-23,RAGE,4.0,0.0
2023-01-30,RAGE,1.0,0.0
2023-02-01,RAGE,0.0,0.0
2023-02-13,RAGE,7.0,0.0
2023-02-20,RAGE,1.0,0.0
2023-06-02,RAGE,1.0,1.0
2023-09-01,RAGE,6.0,0.0
2023-01-01,Rougeole,1029.0,1.0
2023-01-02,Rougeole,147.0,79.3
2023-01-09,Rougeole,91.0,15.8
2023-01-16,Rougeole,3274.0,75.7
2023-01-17,Rougeole,13.0,1.0
2023-01-19,Rougeole,1527.0,6.0
2023-01-22,Rougeole,12.0,1.0
2023-01-23,Rougeole,3151.0,71.5
2023-01-24,Rougeole,58.0,0.0
2023-01-26,Rougeole,1342.0,13.0
2023-01-29,Rougeole,9.0,0.0
2023-01-30,Rougeole,4028.0,38.0
2023-02-01,Rougeole,2265.0,32.0
2023-02-06,Rougeole,983.0,1.0
2023-02-13,Rougeole,4430.0,66.1
2023-02-16,Rougeole,578.0,10.0
2023-02-20,Rougeole,4366.0,75.4
2023-02-22,Rougeole,497.0,14.0
2023-02-23,Rougeole,6.0,0.0
2023-06-02,Rougeole,2624.0,43.0
2023-07-01,Rougeole,7.0,0.0
2023-09-01,Rougeole,2268.0,17.0
2023-09-02,Rougeole,758.0,10.0
2023-12-01,Rougeole,1157.0,6.0
2023-12-02,Rougeole,5.0,0.0
2023-01-02,TETANOS MATERNE,2.0,1.0
2023-01-16,TETANOS MATERNE,0.0,0.0
2023-01-23,TETANOS MATERNE,0.0,0.0
2023-01-30,TETANOS MATERNE,0.0,0.0
2023-02-01,TETANOS MATERNE,0.0,0.0
2023-02-13,TETANOS MATERNE,0.0,0.0
2023-02-20,TETANOS MATERNE,2.0,0.0
2023-06-02,TETANOS MATERNE,1.0,0.0
2023-09-01,TETANOS MATERNE,0.0,0.0
2023-01-09,TNN,101.0,1.4
2023-01-16,TNN,6.0,1.0
2023-01-23,TNN,8.0,4.0
2023-01-24,TNN,2.0,2.0
2023-01-29,TNN,0.0,0.0
2023-01-30,TNN,14.0,10.0
2023-02-01,TNN,7.0,3.0
2023-02-13,TNN,11.0,6.4
2023-02-16,TNN,1.0,1.0
2023-02-20,TNN,209.0,6.9
2023-06-02,TNN,8.0,5.0
2023-09-01,TNN,5.0,2.0
